Grasp Number,X Pixel,Y Pixel,Angle,World Co-ordinates,Result
1,161,181,0.023144258,[ 0.48845758 -0.31282149  0.05012745],"Success, object is in tray"
2,173,205,0.041307803,[ 0.48663877 -0.29531872  0.05012652],"Success, object is in tray"
3,167,220,-0.3790483,[ 0.49378534 -0.28776078  0.05012541],"Failed, object is not in tray"
4,169,184,-0.11466456,[ 0.48414018 -0.30908319  0.0501274 ],"Failed, object is not in tray"
5,143,232,-0.18791501,[ 0.51102679 -0.28612586  0.05012479],"Success, object is in tray"
6,134,204,-0.09793558,[ 0.51056185 -0.30484467  0.0501262 ],"Success, object is in tray"
7,143,226,-0.07723229,[ 0.50975336 -0.28963433  0.05012497],"Success, object is in tray"
8,141,219,-0.09553778,[ 0.50947824 -0.29422111  0.05012545],"Success, object is in tray"
9,159,221,-0.28187016,[ 0.49889935 -0.28897535  0.05012538],"Failed, object is not in tray"
10,174,200,0.14975622,[ 0.48484001 -0.29810643  0.05012662],"Success, object is in tray"
11,156,182,-0.08603164,[ 0.49184509 -0.31336144  0.05012771],"Failed, object is not in tray"
12,161,226,-0.4789809,[ 0.49878942 -0.28559348  0.0501252 ],"Failed, object is not in tray"
13,161,187,-0.031071084,[ 0.4898781  -0.30907793  0.05012725],"Success, object is in tray"
14,135,192,-0.015656523,[ 0.5073146  -0.31200139  0.05012674],"Success, object is in tray"
15,148,230,-0.12704474,[ 0.50756596 -0.28617265  0.05012495],"Success, object is in tray"
16,155,226,-0.23162055,[ 0.50244252 -0.28693987  0.05012518],"Success, object is in tray"
