Grasp Number,X Pixel,Y Pixel,Angle,World Co-ordinates,Result
1,188,224,-0.03660814,[ 0.48189417 -0.28069409  0.05006111],"Failed, object is not in tray"
2,195,227,-0.057021372,[ 0.47834704 -0.27738966  0.05006126],"Failed, object is not in tray"
3,86,196,-0.010415643,[ 0.53884747 -0.32085949  0.05005996],"Failed, object is not in tray"
4,175,230,0.7524207,[ 0.49117798 -0.28012921  0.05006101],"Failed, object is not in tray"
5,188,218,-0.08016808,[ 0.48047813 -0.28419476  0.05006117],"Success, object is in tray"
6,202,226,-0.13183178,[ 0.47385841 -0.27639989  0.05006128],"Failed, object is not in tray"
7,115,206,0.31477624,[ 0.52277809 -0.30797916  0.05006023],"Failed, object is not in tray"
8,193,232,-0.081812374,[ 4.75403894e-01 -2.67935834e-01  8.58305721e-05],"Success, object is in tray"
9,86,190,-0.0063838763,[ 0.53766778 -0.32464426  0.05005984],"Failed, object is not in tray"
10,183,226,0.22102192,[ 0.48540275 -0.28065465  0.05006104],"Failed, object is not in tray"
11,72,197,-0.10215058,[ 0.54781275 -0.3234744   0.05005975],"Failed, object is not in tray"
12,80,196,-0.14703795,[ 0.54260783 -0.32224986  0.05005975],"Failed, object is not in tray"
13,177,224,0.17786379,[ 0.48859264 -0.28316338  0.05006103],"Failed, object is not in tray"
14,106,180,-0.014095398,[ 5.29705827e-01 -3.33952471e-01  8.96931921e-05],"Failed, object is not in tray"
15,188,230,-0.06852721,[ 0.48329712 -0.27722587  0.05006123],"Failed, object is not in tray"
16,202,231,-0.15187088,[ 4.68104492e-01 -2.66094393e-01  8.58450063e-05],"Success, object is in tray"
17,119,200,0.2414561,[ 0.5190396  -0.31074738  0.05006037],"Success, object is in tray"
18,197,235,0.012829272,[ 4.73203697e-01 -2.64591342e-01  8.56077266e-05],"Success, object is in tray"
