Grasp Number,X Pixel,Y Pixel,Angle,World Co-ordinates,Result
1,111,215,0.05619526,[ 0.52222405 -0.30274968  0.08091852],"Failed, object is not in tray"
2,111,200,-0.013436303,[ 0.51970113 -0.31030704  0.08091124],"Failed, object is not in tray"
3,183,242,-0.16881411,[ 0.49089878 -0.27645233  0.0809955 ],"Failed, object is not in tray"
4,104,214,0.19900084,[ 0.52561842 -0.30456151  0.08090481],"Failed, object is not in tray"
5,105,200,0.016088832,[ 0.52278634 -0.31144753  0.08089977],"Failed, object is not in tray"
6,122,194,-0.47962677,[ 0.51299692 -0.31127991  0.08092962],"Failed, object is not in tray"
7,111,227,-0.065047905,[ 0.52419993 -0.296831    0.08092421],"Failed, object is not in tray"
8,105,194,-0.036770113,[ 0.52177908 -0.31453055  0.08086855],"Failed, object is not in tray"
9,98,196,0.054814607,[ 0.52576658 -0.31485754  0.08066122],"Failed, object is not in tray"
10,122,189,-0.37751168,[ 0.51211195 -0.31385413  0.08092722],"Failed, object is not in tray"
11,155,155,-0.89662385,[ 0.48835005 -0.32544092  0.0807275 ],"Failed, object is not in tray"
12,142,172,0.9658134,[ 0.49856058 -0.31887521  0.08091558],"Failed, object is not in tray"
13,111,221,0.004273678,[ 0.52321662 -0.29977644  0.08092144],"Failed, object is not in tray"
14,108,206,-0.047816966,[ 0.52225268 -0.30782954  0.08090852],"Failed, object is not in tray"
15,166,163,0.9453299,[ 0.48417042 -0.31896383  0.08090456],"Failed, object is not in tray"
16,134,244,-0.08214228,[ 0.51551949 -0.28443758  0.08096265],"Failed, object is not in tray"
17,185,181,0.19851184,[ 0.47792925 -0.30588671  0.08092003],"Failed, object is not in tray"
18,93,195,0.015258761,[ 5.44186593e-01 -3.25636865e-01  8.85875108e-05],"Failed, object is not in tray"
19,124,230,-0.00083281734,[ 0.51816228 -0.29296672  0.08095007],"Failed, object is not in tray"
20,189,239,-0.2671037,[ 0.48736146 -0.27675335  0.08096176],"Failed, object is not in tray"
21,89,202,0.08829866,[ 5.49175192e-01 -3.21209295e-01  8.81071046e-05],"Failed, object is not in tray"
22,185,247,-0.2208539,[ 0.49083391 -0.27374718  0.0808739 ],"Failed, object is not in tray"
