Grasp Number,X Pixel,Y Pixel,Angle,World Co-ordinates,Result
1,141,215,0.48148027,[ 0.50825695 -0.2967239   0.0570087 ],"Failed, cube is not in tray"
2,143,220,0.33203936,[ 0.50814739 -0.2934045   0.05635468],"Failed, cube is not in tray"
3,153,212,0.3400915,[ 0.50052235 -0.29586609  0.05858298],"Failed, cube is not in tray"
4,141,209,0.6290895,[ 0.50695757 -0.30018366  0.05809171],"Failed, cube is not in tray"
5,153,221,0.30927002,[ 0.50244344 -0.29069549  0.05706451],"Failed, cube is not in tray"
6,147,215,0.36947823,[ 0.50469076 -0.29543526  0.05775547],"Failed, cube is not in tray"
7,159,209,0.9487699,[ 0.4963562  -0.29627169  0.05826584],"Failed, cube is not in tray"
8,153,206,0.42339006,[ 0.49924594 -0.29930151  0.05959182],"Failed, cube is not in tray"
9,144,203,0.27856228,[ 0.50391648 -0.30299351  0.05846424],"Failed, cube is not in tray"
10,157,202,0.4073739,[ 0.49602494 -0.300734    0.05859784],"Failed, cube is not in tray"
11,147,224,0.1302697,[ 0.50662992 -0.29024379  0.05613331],"Failed, cube is not in tray"
12,156,191,0.25865352,[ 0.49416276 -0.30743705  0.05705793],"Failed, cube is not in tray"
13,147,209,0.22805536,[ 0.5034036  -0.29888121  0.05883216],"Failed, cube is not in tray"
