Grasp Number,X Pixel,Y Pixel,Angle,World Co-ordinates,Result
1,141,215,0.48148027,[ 0.50826168 -0.29672234  0.05691821],"Failed, object is not in tray"
2,143,220,0.33203936,[ 0.50815207 -0.29340116  0.05626385],"Failed, object is not in tray"
3,153,212,0.3400915,[ 0.50052205 -0.29586712  0.05862904],"Failed, object is not in tray"
4,141,209,0.6290895,[ 0.50696159 -0.30018396  0.05800212],"Failed, object is not in tray"
5,153,221,0.30927002,[ 0.50244261 -0.29069796  0.05711109],"Failed, object is not in tray"
6,147,215,0.36947823,[ 0.50469356 -0.29543303  0.05766596],"Failed, object is not in tray"
7,159,209,0.9487699,[ 0.49635706 -0.29627262  0.05831234],"Failed, object is not in tray"
8,153,206,0.42339006,[ 0.499246   -0.2993016   0.05963754],"Failed, object is not in tray"
9,144,203,0.27856228,[ 0.50391688 -0.30299382  0.05844934],"Failed, object is not in tray"
10,157,202,0.4073739,[ 0.49602914 -0.30073262  0.05880236],"Failed, object is not in tray"
11,147,224,0.1302697,[ 0.50663376 -0.29023877  0.0560427 ],"Failed, object is not in tray"
12,156,191,0.25865352,[ 0.49416816 -0.30742906  0.05722977],"Failed, object is not in tray"
13,147,209,0.22805536,[ 0.50340571 -0.29888082  0.05874354],"Failed, object is not in tray"
